Game1,1.0
Game1,-4.5
Game2,-7.0
Game3,-6.5
Game4,3.5
Game5,-3.0
Game6,-9.0
Game7,-8.0
Game8,-4.0
Game9,4.5
Game1,-8.0
Game2,-5.0
Game3,-6.5
Game4,-3.0
Game5,-4.0
Game1,-3.0
Game2,2.0
Game3,-3.0
Game4,-5.5
Game5,-7.5
Game1,-5.0
Game2,-3.5
Game3,-7.0
Game4,-4.5
Game5,-3.5
Game6,-4.5
Game7,-7.0
Game8,-4.5
Game9,-5.0
Game10,-3.5
Game11,-5.0
Game12,-7.5
Game13,-3.5
Game14,-6.0
Game15,-3.5
Game16,-3.5
Game17,-4.5
Game18,-3.0
Game19,-2.0
Game20,3.0
Game21,-5.0
Game22,-2.5
Game23,-3.5
Game24,-0.5
Game25,-4.0
Game26,-4.5
Game27,-5.5
Game28,-6.5
Game29,-4.0
Game30,-4.5
Game31,-5.0
Game32,-6.0
Game33,-4.5
Game34,-7.0
Game35,-6.5
Game36,-6.5
Game37,-4.5
Game38,-5.0
Game39,-1.0
Game40,-8.0
Game41,-4.5
Game42,-3.0
Game43,-6.0
Game44,-1.0
Game45,-6.0
Game46,-6.5
Game47,-6.0
Game48,-4.5
Game49,-5.0
Game50,-2.5
Game1,-3.5
Game2,0.0
Game3,-3.0
Game4,-6.0
Game5,-7.0
Game6,-3.0
Game7,-6.0
Game8,-1.0
Game9,-6.5
Game10,-8.0
Game11,-3.0
Game12,-8.5
Game13,-4.0
Game14,-6.0
Game15,-5.5
Game16,-3.5
Game17,-7.5
Game18,-7.0
Game19,-4.0
Game20,0.0
Game21,-4.0
Game22,-4.5
Game23,-1.5
Game24,-4.0
Game25,-6.5
Game26,-6.0
Game27,3.0
Game28,-5.0
Game29,-4.0
Game30,-7.0
