game,agent,score
1,0-llama_agent.py,6
1,1-gemma_agent.py,4
1,2-sbert_agent.py,3
1,3-RLAgent.py,8
2,0-llama_agent.py,2
2,1-gemma_agent.py,8
2,2-sbert_agent.py,3
2,3-RLAgent.py,2
3,0-llama_agent.py,8
3,1-gemma_agent.py,7
3,2-sbert_agent.py,3
3,3-RLAgent.py,4
4,0-llama_agent.py,3
4,1-gemma_agent.py,2
4,2-sbert_agent.py,8
4,3-RLAgent.py,1
5,0-llama_agent.py,5
5,1-gemma_agent.py,8
5,2-sbert_agent.py,2
5,3-RLAgent.py,5
6,0-llama_agent.py,8
6,1-gemma_agent.py,3
6,2-sbert_agent.py,6
6,3-RLAgent.py,3
7,0-llama_agent.py,5
7,1-gemma_agent.py,8
7,2-sbert_agent.py,4
7,3-RLAgent.py,4
8,0-llama_agent.py,3
8,1-gemma_agent.py,8
8,2-sbert_agent.py,6
8,3-RLAgent.py,6
9,0-llama_agent.py,5
9,1-gemma_agent.py,8
9,2-sbert_agent.py,2
9,3-RLAgent.py,4
10,0-llama_agent.py,8
10,1-gemma_agent.py,5
10,2-sbert_agent.py,4
10,3-RLAgent.py,5
